U:0,U:1,U:2,p,Points:0,Points:1,Points:2
0.177997,4.23668e-08,-7.15546e-12,13.8054,0.00225831,0.0002,4e-05
0.177997,4.18053e-08,-4.46666e-12,13.7959,0.00226907,0.0002,4e-05
0.177998,4.14857e-08,-1.98187e-12,13.7865,0.00227982,0.0002,4e-05
0.177998,4.10911e-08,-2.04005e-12,13.7771,0.00229058,0.0002,4e-05
0.177998,4.07033e-08,-4.34073e-12,13.7676,0.00230133,0.0002,4e-05
0.177998,4.0568e-08,-3.9023e-12,13.7582,0.00231208,0.0002,4e-05
0.177998,4.02032e-08,1.68784e-12,13.7487,0.00232284,0.0002,4e-05
0.177998,4.02969e-08,1.0364e-11,13.7393,0.00233359,0.0002,4e-05
0.177998,3.99058e-08,1.94463e-11,13.7298,0.00234434,0.0002,4e-05
0.177998,4.0345e-08,2.94108e-11,13.7204,0.0023551,0.0002,4e-05
0.177998,4.00392e-08,2.50494e-11,13.711,0.00236585,0.0002,4e-05
0.177998,4.06932e-08,2.0771e-11,13.7016,0.00237661,0.0002,4e-05
0.177998,4.03856e-08,1.28953e-11,13.6921,0.00238736,0.0002,4e-05
0.177999,4.1479e-08,5.44107e-12,13.6827,0.00239811,0.0002,4e-05
0.177999,4.16832e-08,3.87036e-12,13.6732,0.00240887,0.0002,4e-05
0.177999,4.31382e-08,2.49835e-12,13.6638,0.00241962,0.0002,4e-05
0.177999,4.35629e-08,2.50377e-12,13.6543,0.00243038,0.0002,4e-05
0.177999,4.58237e-08,2.85917e-12,13.6449,0.00244113,0.0002,4e-05
0.177999,4.75272e-08,4.9469e-12,13.6354,0.00245188,0.0002,4e-05
0.177999,5.0969e-08,7.10562e-12,13.626,0.00246264,0.0002,4e-05
0.177999,5.36025e-08,1.05395e-11,13.6165,0.00247339,0.0002,4e-05
0.177999,5.89937e-08,1.38946e-11,13.6071,0.00248414,0.0002,4e-05
0.177999,6.53695e-08,1.7134e-11,13.5977,0.0024949,0.0002,4e-05
0.177999,7.46016e-08,2.02053e-11,13.5882,0.00250565,0.0002,4e-05
0.177999,8.4212e-08,2.02744e-11,13.5788,0.00251641,0.0002,4e-05
0.177999,9.81793e-08,1.98005e-11,13.5693,0.00252716,0.0002,4e-05
0.177999,1.1831e-07,1.31083e-11,13.5599,0.00253791,0.0002,4e-05
0.177999,1.39363e-07,6.65954e-12,13.5505,0.00254867,0.0002,4e-05
0.177999,1.49904e-07,1.84602e-12,13.541,0.00255942,0.0002,4e-05
0.177999,1.43285e-07,-2.02006e-12,13.5316,0.00257018,0.0002,4e-05
0.177999,9.0523e-08,-3.27672e-12,13.5221,0.00258093,0.0002,4e-05
0.177999,3.20699e-08,-4.59373e-12,13.5127,0.00259168,0.0002,4e-05
0.177999,-3.9179e-08,-5.97634e-12,13.5032,0.00260244,0.0002,4e-05
0.177999,-7.77023e-08,-6.70064e-12,13.4938,0.00261319,0.0002,4e-05
0.177999,-9.7034e-08,-6.91968e-12,13.4843,0.00262395,0.0002,4e-05
0.177999,-9.76664e-08,-7.19863e-12,13.4749,0.0026347,0.0002,4e-05
0.177999,-8.78751e-08,-7.52734e-12,13.4655,0.00264545,0.0002,4e-05
0.177999,-7.71622e-08,-7.09465e-12,13.456,0.00265621,0.0002,4e-05
0.177999,-6.42974e-08,-5.81188e-12,13.4466,0.00266696,0.0002,4e-05
0.177999,-5.53318e-08,-4.46862e-12,13.4371,0.00267771,0.0002,4e-05
0.177999,-4.01526e-08,-2.81687e-12,13.4277,0.00268847,0.0002,4e-05
0.177999,-3.47267e-08,-1.19199e-12,13.4182,0.00269922,0.0002,4e-05
0.177999,-2.28613e-08,-2.80617e-12,13.4088,0.00270998,0.0002,4e-05
0.177999,-1.70434e-08,-4.68724e-12,13.3994,0.00272073,0.0002,4e-05
0.178,-9.93421e-09,-8.13427e-12,13.3899,0.00273148,0.0002,4e-05
0.178,-5.50167e-10,-1.33118e-11,13.3805,0.00274224,0.0002,4e-05
0.178,2.37928e-10,-1.83991e-11,13.3711,0.00275299,0.0002,4e-05
0.178001,1.10574e-08,-2.08029e-11,13.3616,0.00276375,0.0002,4e-05
0.178001,1.40858e-08,-2.30487e-11,13.3522,0.0027745,0.0002,4e-05
0.178001,1.85823e-08,-2.34893e-11,13.3427,0.00278525,0.0002,4e-05
0.178002,3.14338e-08,-2.09158e-11,13.3333,0.00279601,0.0002,4e-05
0.178002,2.81491e-08,-1.80683e-11,13.3239,0.00280676,0.0002,4e-05
0.178003,4.04256e-08,-1.42166e-11,13.3144,0.00281751,0.0002,4e-05
0.178003,4.81051e-08,-9.88494e-12,13.305,0.00282827,0.0002,4e-05
0.178004,4.34982e-08,-5.62788e-12,13.2955,0.00283902,0.0002,4e-05
0.178005,7.01768e-08,-4.62927e-12,13.2861,0.00284978,0.0002,4e-05
0.178005,6.82281e-08,-3.548e-12,13.2767,0.00286053,0.0002,4e-05
0.178006,7.65177e-08,-2.82845e-12,13.2672,0.00287128,0.0002,4e-05
